No.,Size,Color,Clarity,Certification,Price
96,0.71,E,VS1,GIA,5881
106,0.74,H,VS2,GIA,4585
223,0.71,D,VS1,IGI,6160
215,0.55,F,VVS2,IGI,3706
32,0.43,H,VVS2,GIA,1747
12,0.32,G,VS2,GIA,1202
153,0.18,F,VVS2,IGI,765
139,1.01,I,VVS2,GIA,8455
98,0.72,E,VS1,GIA,5961
65,0.7,F,VS1,GIA,5510
147,1.05,I,VVS2,GIA,8781
166,0.2,D,VS1,IGI,880
62,0.63,G,VVS2,GIA,4401
47,0.53,D,VS1,GIA,3921
170,0.21,D,VS1,IGI,919
177,0.23,G,IF,IGI,995
36,0.5,E,VS1,GIA,3501
214,0.52,I,IF,IGI,3095
115,0.9,F,VS1,GIA,7680
185,0.26,F,VVS2,IGI,1260
52,0.54,F,VVS1,GIA,4066
175,0.23,E,IF,IGI,1248
73,0.72,F,VS2,GIA,5263
274,0.85,F,VVS1,HRD,8359
61,0.62,E,VVS1,GIA,5845
248,0.64,H,VVS2,HRD,3785
188,0.27,H,IF,IGI,1233
240,0.57,F,VS2,HRD,3256
43,0.52,D,VS2,GIA,3490
86,0.57,H,VVS1,GIA,3415
164,0.19,G,VVS1,IGI,800
194,0.3,G,VVS1,IGI,1459
304,1.01,I,VS1,HRD,8175
55,0.55,G,VVS2,GIA,3529
244,0.6,G,VS2,HRD,3421
46,0.52,F,VS1,GIA,3418
107,0.75,D,VVS2,GIA,7368
105,0.74,G,VVS2,GIA,5815
264,0.8,G,VVS2,HRD,6905
256,0.71,G,IF,HRD,6372
113,0.8,I,VS2,GIA,4832
168,0.2,G,VS1,IGI,705
198,0.31,F,VVS1,IGI,1628
172,0.21,F,IF,IGI,1057
44,0.52,E,VS1,GIA,3635
289,1,H,VS2,HRD,8788
250,0.66,H,VVS1,HRD,4300
212,0.51,E,VVS2,IGI,3722
275,0.85,F,VS2,HRD,6805
57,0.56,I,VVS2,GIA,2892
126,1,G,VS2,GIA,9169
226,1,H,VVS2,IGI,9342
261,0.74,H,VVS1,HRD,5815
30,0.4,H,VS1,GIA,1525
238,0.56,F,VS1,HRD,3667
56,0.56,F,VS1,GIA,3667
6,0.31,E,VS1,GIA,1555
